,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,I.,47.49916270000001,19.035143100000003,Dísz tér,47.49909987702406,19.036163341521213,Plaza
1,I.,47.49916270000001,19.035143100000003,Halászbástya | Fisherman's Bastion (Halászbástya),47.50202916825666,19.03505802154541,Historic Site
2,I.,47.49916270000001,19.035143100000003,Stand25 Bisztró,47.497673,19.032679,Bistro
3,I.,47.49916270000001,19.035143100000003,Várnegyed,47.50119536056568,19.032261353922006,Scenic Lookout
4,I.,47.49916270000001,19.035143100000003,Honda Dream,47.49856101793635,19.031825367180065,Motorcycle Shop
5,I.,47.49916270000001,19.035143100000003,Budavári Palota,47.496197815204255,19.03954267501831,Castle
6,I.,47.49916270000001,19.035143100000003,Pavillon de Paris,47.50113958069904,19.039126333378,French Restaurant
7,I.,47.49916270000001,19.035143100000003,Zhao Zhou Teashop & Lab,47.49735359915229,19.0410255135632,Tea Room
8,I.,47.49916270000001,19.035143100000003,Szelence Café,47.497767102774404,19.031901183012053,Café
9,I.,47.49916270000001,19.035143100000003,Sziklakórház (Sziklakórház és Atombunker),47.50065171099339,19.031667177753427,History Museum
10,I.,47.49916270000001,19.035143100000003,Budavári Mikve,47.49854554181599,19.03584638310276,Historic Site
11,I.,47.49916270000001,19.035143100000003,Tabán Kinotéka,47.495818274097225,19.034303415796405,Indie Movie Theater
12,I.,47.49916270000001,19.035143100000003,Várhegy,47.497570104000104,19.03874734122873,Scenic Lookout
13,I.,47.49916270000001,19.035143100000003,Chococo,47.49756658264404,19.032413014257013,Chocolate Shop
14,I.,47.49916270000001,19.035143100000003,Magyar Nemzeti Galéria | Hungarian National Gallery (Magyar Nemzeti Galéria),47.4960818339324,19.039467573165894,Art Museum
15,I.,47.49916270000001,19.035143100000003,Déryné Bisztró,47.49726881765624,19.03170794248581,Bistro
16,I.,47.49916270000001,19.035143100000003,Mátra borozó,47.50237398709924,19.03880549917598,Wine Bar
17,I.,47.49916270000001,19.035143100000003,Alagút-tető,47.49816583335608,19.039510488510132,Scenic Lookout
18,I.,47.49916270000001,19.035143100000003,Ennmann Japán Étterem,47.50314223244379,19.03950315483912,Sushi Restaurant
19,I.,47.49916270000001,19.035143100000003,Butik Hotel,47.50012562405661,19.03932972325795,Bed & Breakfast
20,I.,47.49916270000001,19.035143100000003,Bortársaság,47.49744052213427,19.041090091730737,Wine Shop
21,I.,47.49916270000001,19.035143100000003,Hotel Clark,47.49850654465073,19.040412430224936,Hotel
22,I.,47.49916270000001,19.035143100000003,Rojt és Bojt Kávéskuckó,47.4961,19.029148,Café
23,I.,47.49916270000001,19.035143100000003,Sis & Bro Boutique Cafe,47.49776260880449,19.031936616739138,Coffee Shop
24,I.,47.49916270000001,19.035143100000003,Belga Söröző,47.50169488330903,19.03977086335183,Pub
25,I.,47.49916270000001,19.035143100000003,Bécsi Kapu,47.50501526609824,19.030653834342957,Monument / Landmark
26,I.,47.49916270000001,19.035143100000003,Macskakő 2.0,47.49934363717346,19.039254546298004,Pub
