,District,Latitude,Longitude
0,I.,47.4991627,19.0351431
1,II.,47.538887,18.9826357
2,III.,47.5686915,19.027668183360795
3,IV.,47.57777895,19.093163614886215
4,V.,47.4999448,19.0505488
5,VI.,47.5094944,19.0653234
6,VII.,47.5026271,19.077243325017964
7,VIII.,47.4905952,19.0873404
8,IX.,47.4653558,19.0903564
9,X.,47.4822351,19.1564941
10,XI.,47.467215,19.0275212
11,XII.,47.5048,18.982814888468894
12,XIII.,47.5368042,19.074198629461726
13,XIV.,47.52300395,19.114512673001514
14,XV.,47.562713599999995,19.14021824045608
15,XVI.,47.5183113,19.2043711
16,XVII.,47.4758295,19.2694065
17,XVIII.,47.4303287,19.2018647
18,XIX.,47.4493327,19.1441196
19,XX.,47.4333961,19.1209209
20,XXI.,47.424317,19.069213818602236
21,XXII.,47.4117905,19.010826
22,XXIII.,47.3894047,19.1441576
